name,geometry.location.lat,geometry.location.lng,review_text,review_rating
Dog Beach,-37.8438302,144.9384759,[],[]
Port Melbourne Dog Beach,-37.8396412,144.9207544,[],[]
St Kilda West Dog Beach,-37.8585394,144.9667184,[],[]
St Kilda West dog off leash beach,-37.8593125,144.9694375,['My dog loves this place'],[5]
St Kilda Harbour Dog Beach,-37.8606464,144.969802,"['Small area of beach just north of the main part of St Kilda that is open to dog owners to bring their pets for a swim and run around. At low tide there is plenty of sand to play on. Only a short walk from the pubs and cafes of St Kilda itself if you’re feeling thirsty afterward.', 'St Kilda Harbour dog beach is a great place to bring your dog! Lots of room especially if it’s low tide, and great views of the harbour, Catani gardens and the bay. If you come on the weekend you’ll see lots of kite surfers as well.\n\nThe dog beach is not fully enclosed or gated unfortunately.', 'Always take our King charles cavalier here to cool off in the summer. She lives to chase the birds and get into the water. Be mindful as sometimes their are dead puffer fish on the shore line.\nLots of kelp too . So just be careful if your dog loves o ingest anything.\n\nLots of other friendly dogs and owners to chat too.', 'Areas of St Kilda beaches where dogs are allowed off leash all year and all day.\n\nWest Beach opposite Cowderoy Street.\n\nSt Kilda Harbour Beach.\n\nSt Kilda Foreshore, southern end only.', 'Not a bad beach 🦮🐕\u200d🦺🐕🐩']","[5, 5, 5, 5, 5]"
Middle Park Beach,-37.8540655,144.9608928,[],[]
Westport Reserve,-37.83937689999999,144.9211697,"['Not much of a reserve, just a long plain of grass with some bushes separating the road from the bike path. It serves its purpose I guess, you also have a playground and some bins that you can access as well.', 'Calm, not a lot of people around. Low maintenance. There’s no food place in the area.', 'Easy parking, great cycling and skating, and walking tracks. Nice beach and views.', 'Offleash dog beach. Peppa loved it.', '']","[3, 3, 5, 5, 4]"
"Dog Friendly Park, Docklands",-37.8146655,144.9392902,[],[]
Howe Reserve,-37.8328743,144.9448549,"['Nice place to have A picnic, but that’s about it. Would come if I’m in the area. It I wouldn’t go out of my way to come here.', '']","[2, 5]"
Howe Reserve Dog Off Leash Area,-37.83277289999999,144.9448455,['Dog leashing area with some benches to sit'],[3]
Sandridge Beach,-37.8401129,144.9163672,[],[]
Perce White Reserve,-37.841439,144.9139444,"[""Needs lighting don't feel safe"", 'Great spot for families! Dog beach runs here too.', 'I always go with family in a nice place and clean 🫧', 'Great park for kids to play in. Quiet beach', 'Beautiful sunsets']","[3, 5, 5, 4, 5]"
Hester Reserve,-37.8358528,144.9397945,"['Lovely narrow long park for walks with dogs. No toilets near by. Water tap is only near 128 tramstop where park benches are', 'quiet  and green', '']","[5, 5, 5]"
Cummings Reserve,-37.8564236,144.9659462,"[""Cummings Reserve is quite a large tapering shaped reserve along Beaconsfield Pde between Cowderoy Street in St Kilda West to Armstrong Street in Middle Park. It's widest at the Cowderoy Street and gradually tapers away until it ends near Armstrong Street.\n\nIt's mainly a grassed area with a number of native trees but other than the public toilets at the Cowderoy Street end, there are no public facilities such as BBQs, picnic tables or bench seats (hint, hint to City of Port Phillip).  It's often used by kitesurfers preparing to setup at the start of their windsurfing day, or at the end of the day when they are packing up their gear to head off home.  It is also sometimes used for dog walking and on hot days you will often see people just laying on the shaded grassed areas under the canopy of trees on the reserve.\n\nAnother plus for Cummings Reserve is that it provides a green open space for the apartments and dwellings along that section of Beaconsfield Parade, giving residents a green area to overlook over."", 'Grew up round, brings back many memories and one my favourite places to take the camera.', 'Nothing can be better visit this place at the sun set. This place can be very windy, you may take warm clothes and wear glass while you are walking on the dam.', 'Great spot for a SWS wind. Great swell and easy to ride.', ""It's the incredible beach that is the main feature here. Fine white sand in a huge arc that would be very desirable in Europe. There is a small concrete pier for sea access, which isn't common. Not much cover here so bring a beach umbrella etc. Can be windy, so be prepared. Joggers everywhere. Lovely place for fresh air and contemplation. People walk dogs here. My five year old only goes there for the dog licks.""]","[3, 4, 5, 5, 5]"
Garden City Reserve Dog Off Leash Area,-37.8369591,144.9294959,[],[]
Barkly Gardens Dog Off Leash Area,-37.827786,145.0014949,[],[]
Port Melbourne Beach,-37.8470392,144.9455252,"['Stunning beauty, You can try fishing at the port as well. there are so many sitting arrangement around the beach. there are some cafe too. Just loved the locality.', 'Another beach along the stretch of sand between St Kilda and Port Melbourne. Easily accessed from the city via tram, and offering plenty of food and drink options nearby. Waves are typically gentle so safe for kids to swim at. If this doesn’t suit your swimming needs it’s a short walk to the next beach.', 'Beautiful beach to watch the sunset. It was very windy when we went so not too crowded which was a plus to allow us to explore.  We were able to find roadside parking and had easy access to the beach. There were two toilets but not very clean. Also lots of shells on the beach so be careful!', 'Nice and clean beach in Melbourne. A long walk pathway to experience the ocean is also built. Nice volleyball nets so you can enjoy.', 'I spend every weekend meditating on the Pier, not many people around at that time, so it feels private. It is my little sanctuary for 20 -30 mins.']","[5, 5, 4, 5, 5]"
Clayton Reserve,-37.7963584,144.9391159,[],[]
Alma Park West,-37.8610087,144.994179,[],[]
Thomas Oval Fenced Dog Park,-37.83295750000001,145.0053209,[],[]
Gasworks Arts Park Dog Off Leash Area,-37.8427604,144.9472512,[],[]
Princes Park Dog Off Leash Area,-37.7806937,144.9610789,[],[]
Surrey Park,-37.8426717,144.9983314,[],[]
Victoria Park Fenced Dog Off Leash Area,-37.798416,144.9968309,[],[]
Peppercorn Park,-37.8203781,144.9979421,[],[]
Fleming Park Dog Off Leash Area,-37.7700326,144.9750577,[],[]
Eastern Reserve Dog Park,-37.833812,144.9653788,[],[]
Curtain Square Fenced Dog Park,-37.7893169,144.9740832,[],[]
Eastern Reserve,-37.8343543,144.9656564,[],[]
Victoria Gardens Dog Off Leash Area,-37.8522338,145.0008576,[],[]
T H Westfield Reserve,-37.7852192,145.0078939,[],[]
Armadale Reserve Off Leash Park,-37.8587066,145.017163,[],[]
Como Park Dog Off Leash Area,-37.8354351,145.0041568,[],[]
Fawkner Park Off-Leash Area,-37.8433901,144.982175,[],[]
Gilpin Park Fenced Dog Park,-37.7686631,144.9501638,[],[]
St James Park Dog Off Leash Area,-37.8196253,145.0200362,[],[]
Ramsden Street Reserve Dog Off Leash Area,-37.7929565,145.0026065,[],[]
Quarries Park Dog Off Leash Area,-37.7896919,145.0018923,[],[]
JJ Holland Park Dog Off Leash Area,-37.7986387,144.9249178,[],[]
Methven Park Dog Off Leash Area,-37.7716277,144.9732819,[],[]
Alma Park East Dog Off Leash Area,-37.8590492,144.9952103,[],[]
Citizens Park Fenced Dog Off Leash Area,-37.8165588,145.0006176,[],[]
T H Westfield Reserve Dog Off Leash Area,-37.7845034,145.0074212,[],[]
Dame Nellie Melba Memorial Park Dog Off Leash Area,-37.8215495,145.0029809,[],[]
Wylie Reserve Dog Off Leash Area,-37.7711541,144.9439325,[],[]
Annettes Place Dog Off Leash Area,-37.81444219999999,145.0135256,[],[]
Langdon Reserve Dog Off Leash Area,-37.7769783,144.9792724,[''],[5]
Holbrook Reserve Dog Off Leash Area,-37.7696676,144.936645,[],[]
Flockhart Reserve Dog Off Leash Area,-37.80798160000001,145.0079339,[],[]
North Melbourne Recreation Reserve Dog Off Leash Area,-37.7983589,144.9411148,[],[]
Travancore Park Dog Off Leash Area,-37.7798,144.9373158,[],[]
Orrong Romanis Reserve Dog Off Leash Area,-37.8507431,145.0101596,[],[]
Royal Park (MacArthur Road) Dog Off Leash Area,-37.789212,144.9518858,[],[]
Balfe Park Dog Off Leash Area,-37.77433199999999,144.977119,[''],[5]
Small Dog Park,-37.823188,144.965373,[],[]
Yarra Park Dog Off Leash Area,-37.820322,144.9870622,[''],[5]
Rushall Reserve Dog Off Leash Area,-37.7815861,144.9913305,[],[]
Point Park Dog Off-leash Area,-37.8235331,144.9423035,[],[]
Pridmore Park Dog Off Leash Area,-37.8171402,145.0150404,[],[]
Phillips Reserve,-37.770638,144.9849347,"['Council should maintain there pathways they over grown that a bike and a walker can not pass.', ""This is a great park for children on a warm day, with a big sand area and water with a hand pump for endless fun. There are excellent playground facilities, big open grassy space for running and ball games, a basketball hoop, toilets, buns and benches with tables. It's a beautiful tranquil area with Merri Creek close by, accessible by the bike/walking trail or by parking in nearby streets. Infrastructure to lock bikes to has been installed recently. It's a fantastic park all round."", ""The park is nice and with a new beautiful playground.  It's a pity that some dog owners, despite all the space they have in proximity, take their pets right there without a leash. No matter if the dog is good or not but some kids, and also adults, can be scared. They shouldn't be allowed next to the playgrounds or at least not without a leash."", 'Parkrun course , vollies very friendly and welcome you with open arms.', 'A great natural park for exploring on a sunny walk. It feels like you left Melbourne.']","[2, 5, 3, 5, 5]"
Golden Square Bicentennial Park Dog Off Leash Area,-37.8286598,145.010562,[],[]
Frank King Park,-37.7999282,144.9756731,[],[]
Smith Reserve,-37.7940827,144.982016,[],[]
Kirkdale Park Dog Off Leash Area,-37.7699859,144.9835508,['Not much room for the dogs to run around'],[2]
Gahan Reserve Dog Off Leash Area,-37.8040229,144.9943617,[],[]
Moray Street Reserve Fenced Dog Park,-37.8262161,144.9603315,[],[]
Janet Millman Reserve Dog Off Leash Area,-37.7807408,144.9840586,[],[]
Merri Park Dog Off Leash Area,-37.7736164,144.9875397,[],[]
Coate Park Dog Off Leash Area,-37.7856005,145.0225311,[],[]
Eades Park,-37.8073071,144.9515543,[],[]
Eades Park Fenced Dog Park,-37.8073259,144.9512096,[],[]
Manningham Reserve,-37.7851437,144.9419195,"[""Nice and clean, it's connected to the soccer ground, kids love it."", ""fantastic place where soccer ⚽ is can be played or baseball or even cricket 🏏 in summer. plenty of area to walk and seat. the toilet had ants outside it but don't let that bother you as it nature and it is there. beside that has a playground for kids and a nice location not far from the train station and tram stop."", 'Large green open reserve.  Some good park infrastructure including seating and playground.  Close to other parklands.', 'Great off leash dog park', 'A good place for taking walks']","[5, 5, 5, 5, 5]"
Vincent the Dog,-37.7977464,144.9691607,[],[]
Gasworks Cafe,-37.8431982,144.9462872,[],[]
The Farm Cafe,-37.8026387,145.0053431,[],[]
The Lawson Grove Shop,-37.8335056,144.990205,[],[]
Sweet Evelyn,-37.773188,144.9529875,[],[]
Doghouse Dog Cafe,-37.7998321,144.9919759,[],[]
Local Folk,-37.7922291,144.92569,[],[]
Wolf and Hound Cafe,-37.7865107,144.9291281,[],[]
The Stables of Como,-37.8378241,145.0034088,"[""very interesting location, great spot to come explore. The food was tasty and reasonably priced for the portion. The only drawback was that food was  a bit slow to come out. Leaving a 4* as i'd come back."", 'Today I had the privilege to conduct a wedding in the stunning gardens of the Stables of Como. What a beautiful and elegant venue for a gorgeous summer wedding. The gardens were impeccably manicured, lined with gorgeous flowers and the ceremony area looked heavenly. The staff were very thoughtful and helpful.\nA breathtaking garden for a truly romantic celebration and ceremony. Highly recommend!', 'Had Latke (fritters) which lacked flavour & was spongy. Hot choc was great. Service rather slow as it was very busy on Sunday. Seating is pretty tight inside but has a nice ambience though with the crowds, it is noisy. Sunday surcharge applies. Free timed street parking on the side streets Lechlade or Como Avenue.', 'Absolutely stunning location. The gardens were lush and very picturous. We hired the outdoor garden area for my daughters christening celebration and ordered a high tea in the garden area for 70ppl. The picnic rugs around the garden were a lovely touch and the food was very nice. Drinks were on the pricy end and having a few more umbrellas outside would be good especially on a hot day. It would be good to have a one on one meeting in person or via zoom/google meets to confirm how the event day would go to plan. This was a bit unclear for myself and other staff on the day.\n\nIt would also be good if the The Stables of Como was able to supply a cake stand.\n\nOverall the guests had a blast, we had a lovely day and I would recommend this venue who is looking to book a fancy high tea event outside.', 'Food was great, but service was a little slow (we came for brunch and it was pretty quiet). But it was still a nice brunch venue and we would definitely come back.']","[4, 4, 3, 3, 4]"
Fourth Chapter,-37.85282160000001,145.0012239,[],[]
The Guilty Moose,-37.84600229999999,144.9499171,[],[]
KereKere Green,-37.8149592,144.9792754,[],[]
The Clubrooms,-37.8382378,144.9801894,[],[]
The Peacock South Yarra,-37.837152,144.997818,[],[]
St Edmonds Cafe,-37.8495455,144.9918338,[],[]
South of Johnston,-37.8059899,144.9846545,[],[]
Red Door Corner Store,-37.7728188,145.0040223,[],[]
Jack the Geezer,-37.8496092,144.9647041,[],[]
Old Man Drew,-37.7755606,144.9283138,[],[]
Cowderoys Dairy,-37.856818,144.971317,[],[]
Frankie Says,-37.8110231,145.0140632,[],[]
Bellboy Cafe | Brunswick Cafe,-37.7722103,144.9791495,[],[]
The Terrace,-37.8294257,144.9828988,[],[]
Jardin Tan,-37.8296336,144.9757742,"['Had a quick stop to warm ourselves up before strolling around royal botanic gardens. Unfortunately hot food weren’t available when we visit so we just ordered brownies and friand to match with our coffee and hot choco. Food is generally fine here.', 'We did Lightscapes in the Royal Botanic Garden.  It is on until August 4.\n\nWe added the dinner package at Jardin Tan.\n\nThe food came out all at once which was good because we were famished and it took 35 minutes from when we were seated to get anything to eat.\n\nThe toilets are next door so go before you head in for dinner.\n\nIt was a nice treat post Lightscape but if I had my chance again I would do dinner first when the restaurant was empty 6pm and Lightscape later around 8pm when there were less kids and prams to contend with.', 'My friend and I did the high tea. Staff very friendly. They served us an extra free glass of champagne as they felt we waited awhile. High tea was delicious. We are vegetarian. Nil issue and entire high tea could cater. We sat outside, which was nice and quieter than inside. Could not fault. The experience was enjoyable and special.', 'We had the gluten-free Feed Me experience and it was so good. Hina was our main server and she was very attentive and friendly. Our meal were served in three stages. Entrees were crumbed chicken with coleslaw, roast pumpkin with corn and mushroom, and scallops.\nNext came stir-fry greens and mushroom, beef curry, and steamed rice. Then it was time for dessert. All the staff were very friendly and the dishes were well presented and tasty. There are indoor and outdoor seating and overall it was a very nice experience. Highly recommended.', ""We had a quick meal as part of the package before heading into the Botanical Gardens to enjoy Lightscape. The three course meal was from a set menu, but they catered for dietary requirements.\n\nTheir vegetarian dishes were better, with mild flavours that appealed to more palettes. The meat dishes were a bit overcooked for my liking, losing the textures that can only happen with tender morsels.\n\nService was efficient, friendly and attentive throughout the visit. The surroundings were comfortable and welcoming, which would have been great for lingering conversations. It's probably not a place I'll return to in the short term.""]","[3, 4, 5, 5, 3]"
Apollo and Friends Cafe,-37.8078222,144.9465719,"[""I really enjoyed my experience and food. The new owner is clearly very passionate and dedicated yo her customers. Reading the previous reviews, there will be teething issues of any new cafe  , but I certainly  didn't experience this. The food is so fresh and you can tell, home made. Very welcoming and warm experience  for me"", 'Chilli scramble egg was supposed to be served on a croissant but I got bland and dry toasts instead, for $20. The egg itself was even more bland. It’s appalling.\n\nThe service was non existent. It was supposed to be table service but we sat there for ages (after letting the staff know we are going to order) and no one came. We had to order at the counter in the end.\n\nNo water, cutlery or napkin was provided until we asked, after the food was served.\n\nEvidently the staff was undertrained. It wasn’t even that busy (50% full). Worst brunch experience in Melbourne. Will NEVER come back again.', 'Melbourne’s hidden GEM! Incredibly friendly staff, amazing selection of food and fresh pastries; all a stone throw away from home 😍 thank you Apollo and friends cafe for hosting my son’s birthday 🎁', ""Great space, pleasant staff.... But based on my hot chocolate experience, I can't rate this place. The hot chocolate that was made for me was better described as hot milk with a hint of chocolate. 😅\n\nEdit: visited again on Father's day. Upgraded from 3 to 4 stars overall because the hot chocolate was better this time. Still a way to go though... was a bit bitter and watery this time. But I get it... hot choccies is not a strength for many cafes."", ""If you're looking for a cozy, casual spot to enjoy a delicious cup of coffee and some tasty breakfast fare, then you might want to check out this cafe. From the moment I walked in, I was impressed by the friendly and welcoming service of the staff. They were attentive, helpful, and made sure I felt right at home.\n\nThe coffee was definitely a standout for me. The baristas clearly know their craft and take pride in brewing a high-quality cup. I opted for a latte, which was perfectly balanced and had just the right amount of foam.\n\nI also tried the scrambled eggs, which were cooked to perfection. They were light and fluffy, with just the right amount of seasoning. It was clear that the kitchen puts a lot of care and attention into their dishes, as everything I tried was fresh, flavorful, and well-prepared.\n\nBut what really set this cafe apart was the live music on Sunday. It was a real treat to enjoy some great tunes while sipping my coffee and digging into my breakfast. The musicians were talented and engaging, and it really added to the relaxed and enjoyable atmosphere of the cafe.\n\nAll in all, I would definitely recommend this cafe to anyone looking for a great cup of coffee, delicious breakfast options, and a fun and lively vibe. The service was excellent, the food was delicious, and the live music was the cherry on top. I'll definitely be coming back!""]","[5, 1, 5, 4, 5]"
Heaven At The Hill - Melbourne’s big little cafe,-37.8100278,144.9753263,[],[]
Cafe Gaia,-37.8381853,144.989344,[],[]
Uncle Drew Cafe,-37.7942303,144.9981744,[],[]
Rubber Duck Cafe,-37.789036,144.990672,[],[]
Darling Street Espresso,-37.7689488,144.9105148,[],[]
Caps Cafe,-37.83977369999999,144.9154032,[],[]
Balderdash,-37.8369444,144.9436111,"['We had a lovely time with our toddler. He loved his avocado on toast. My cappuccino was served in a beautiful handmade cup and the staff were very nice and friendly. They even gifted a marshmallow to my son in a paper bag as we left 🤗', 'Had the chilli scrambled eggs this morning. Best chilling scrambled I think I’ve ever had. Great food and lovely service. Will def be coming back again…', 'I had a delicious coffee, breaky burger and bloody Mary here. Warm, friendly service in a cosy intimate space. Good honest fare and not pretentious. Great value for money as well!', ""Nice and cozy coffee shop about 500 metres from the beach. It's a nice location to have a break with good coffee. The pastries also looked good, but unfortunately I didn't tried them."", 'Love this cafe! The staff are so lovely and friendly- always a nice chat. I’ve been a couple of times and recently tried the almond croissant. Hands down the best one I’ve ever had!. And having spoken to the owner, the coffee is their own blend and is very tasty. Definitely going to be a regular here 🙌🏻']","[5, 5, 5, 4, 5]"
Penny Farthing Espresso,-37.7741941,144.9981547,[],[]
