Icon,Name,Detail,Time,Review,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Detected_Language
https://lh3.googleusercontent.com/a-/ALV-UjVg1nktlpqOCly5GPj5Zy7LSFIumlZWWu0pBlgkq2nL6vwhYVkh_A=w40-h40-p-rp-mo-ba4-br100,Sarah Abendschein,Local Guide · 75 reviews · 71 photos,6 months ago,excellent dog park easy parking safe fence water poo bags lots lovely shade benches lappy meetup fab,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjU-CBMfF21LyEwmNngUOKPBja4nGv0hFMMrDy7Y5L0HOHQWXbfx=w40-h40-p-rp-mo-ba5-br100,Antony D,Local Guide · 228 reviews · 697 photos,a week ago,soccer awesome great environment,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjXAUxwE_-8nJFvbYiOdvfEwYoNw8PusrVqg6sleygMViYx6eqUipw=w40-h40-p-rp-mo-ba3-br100,cj,Local Guide · 56 reviews · 16 photos,4 months ago,conveniently located right middle hustle bustle unfortunately means attracts people drink park theyve known leave unsafe rubbish behind also find people less likely clean dogs park specifically,,,Share,Like,en
https://lh3.googleusercontent.com/a-/ALV-UjXWpJYDfCG3adnkv_oHw2yp78jxm-PEKBap7JK5ZWw_HcRB8RI=w40-h40-p-rp-mo-ba6-br100,Rouven Grossmann,"Local Guide · 253 reviews · 2,070 photos",2 years ago,favourite park close melbourne cbd lot space dogs sizes run around l make friends exhaust,,,Share,,en
https://lh3.googleusercontent.com/a/ACg8ocLB5po04v40VseWcNUumEJtNd-gpa2kMD8XviiSG3OJDeEr5QY=w40-h40-p-rp-mo-ba4-br100,Mayank Minki,Local Guide · 39 reviews · 72 photos,a year ago,clean fenced easy park dog park heart cbd park boundary road plenty car parking,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjVVKYyrCYg19xoXIPZ-OdyEmmXKrpdrFeaTJ_CVaes0EG6NkZo=w40-h40-p-rp-mo-ba4-br100,Chel Haftka,Local Guide · 52 reviews · 284 photos,3 years ago,one favourite fully fenced dog parks two water fountains dogs humans two bag bin stations prickle free grass huge bonus plenty seating tress grow shade evening early morning lighting enough find ball enough feel safe,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjVPsiFL9KJC0BdeV_50AmlHmiKRvZzmn3DisNJi7k0jRzbvB85zSQ=w40-h40-p-rp-mo-br100,Nelson Chan,10 reviews · 37 photos,a year ago,summer best time take dog play park fenced giving peace mind dog wont run away grassy summer get muddy spring winter lots rain,,,Share,Like,en
https://lh3.googleusercontent.com/a/ACg8ocK8Y0-Vr_4hNzzFNXt7ODSqgtdKRDzvkHVDg1xl49H1f2cP5g=w40-h40-p-rp-mo-ba7-br100,Sean Otto,"Local Guide · 305 reviews · 7,166 photos",a year ago,nice good big dog park lots grass area trees seats couple drinking fountains humans pets fenced dont escape pet runner little hard get park sometimes dog loves,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjV74QbzrPr0XQIROrcfqAbBSBl6p1hqfRfT7gEDi7ihkIU9Pds=w40-h40-p-rp-mo-ba4-br100,Michael Brookes,Local Guide · 32 reviews · 92 photos,5 months ago,taken dog times time dogs lead area well behaved plenty room run around,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjX0-LIukx1dibyJtEea3D3oOF_0VS-7iTGeLIA_PyBqz5jMr_xbZg=w40-h40-p-rp-mo-ba4-br100,Ernie Reyes,Local Guide · 51 reviews · 255 photos,2 years ago,dog park fully fenced grass well maintained forgot bring plastic bag im glad park provides dogs love running around huge area,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjUl3MGkcTdv1_sUAS4h6JU6z6cjkBcO7Z1c3ihBDtxg9pGFZ3A=w40-h40-p-rp-mo-ba4-br100,Ben Trinh,Local Guide · 93 reviews · 252 photos,a year ago,clean secure dog area moderately sized area plenty room even larger dogs run around ample parking convenience well fenced multiple entrances entrances ends area,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjUg0eUOVgNPWNbMjZCIKbX9NXBe9qqWt0jbqaZsTiOM00QsO42ISg=w40-h40-p-rp-mo-ba4-br100,Bilian Loi,Local Guide · 159 reviews · 121 photos,a year ago,biggest dog park spacious enough dogs sizes run around theres seated area shaded area middle humans dogs,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjX1FMOUVgnc2VqJWQ3-FcJ-E_o8iJHw-qLfRvaC8znR_ZdHvnFK=w40-h40-p-rp-mo-ba5-br100,Hai Nguyen,"Local Guide · 420 reviews · 1,039 photos",5 years ago,great dog park opinion peak times many dogs great socialising dog mostly sensible owners one time observed irresponsible owner didnt control dog well reacted poorly another dog,,,Share,Like,en
https://lh3.googleusercontent.com/a-/ALV-UjXftleeVqprvghbcrO-fSat48dNFs4aG3YfWub0zo6OEvljNZsU=w40-h40-p-rp-mo-ba5-br100,Marcie B,Local Guide · 177 reviews · 295 photos,9 months ago,inner city leash dog park ticks boxes easy free parking fully fenced seating rubbish bins poo bags pooch loves running free,,,Share,,en
https://lh3.googleusercontent.com/a/ACg8ocIk4KQFVl0w9w8Z4MpuhLbJB2K1yC1I21gI_2hzfSb_6BsL-g=w40-h40-p-rp-mo-br100,Phil,8 reviews,2 months ago,sure google maps asking rate dog park yeah pretty good,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjXN8l4aDscl7uNnG93glpJMQbMgUuK_E1e5iLbNR4F2l9GDC0s=w40-h40-p-rp-mo-ba6-br100,Bella Bella,"Local Guide · 387 reviews · 2,301 photos",4 years ago,th visit far visited dog parks dont comparison dog loves getting run around securely fenced park dogs water available plenty waste bags available wish,,,Share,Like,en
https://lh3.googleusercontent.com/a/ACg8ocLFTTryvmLUCvkSOH1Sfzc8u3VWMVm90muI3eIyG_sSMMoEAgt-=w40-h40-p-rp-mo-ba5-br100,Fit Lisa,Local Guide · 197 reviews · 171 photos,3 months ago,lots cute friendly dogsgreat space inner city,,,Like,Share,en
